time,Direction,Lead_hours,Source_time,Speed
2023-09-01 06:00:00+00:00,ENE,1,1693537200,3.12928
2023-09-01 09:00:00+00:00,ENE,1,1693548000,7.15264
2023-09-01 12:00:00+00:00,ENE,1,1693558800,5.81152
2023-09-01 15:00:00+00:00,E,1,1693569600,5.81152
2023-09-01 18:00:00+00:00,E,1,1693580400,4.91744
2023-09-01 21:00:00+00:00,ESE,1,1693591200,4.91744
2023-09-02 00:00:00+00:00,SE,1,1693602000,4.91744
2023-09-02 03:00:00+00:00,SE,1,1693612800,5.81152
2023-09-02 06:00:00+00:00,SSE,1,1693623600,4.91744
2023-09-02 09:00:00+00:00,S,1,1693634400,7.15264
2023-09-02 12:00:00+00:00,SW,1,1693645200,4.91744
2023-09-02 15:00:00+00:00,SSW,1,1693656000,5.81152
2023-09-02 18:00:00+00:00,S,1,1693666800,5.81152
2023-09-02 21:00:00+00:00,SW,1,1693677600,8.04672
2023-09-03 00:00:00+00:00,SW,1,1693688400,9.83488
2023-09-03 03:00:00+00:00,WSW,1,1693699200,11.176
2023-09-03 06:00:00+00:00,WSW,1,1693710000,8.9408
2023-09-03 09:00:00+00:00,SW,1,1693720800,11.176
2023-09-03 12:00:00+00:00,SW,1,1693731600,12.96416
2023-09-03 15:00:00+00:00,WSW,1,1693742400,13.85824
2023-09-03 18:00:00+00:00,WSW,1,1693753200,12.96416
2023-09-03 21:00:00+00:00,WSW,1,1693764000,9.83488
2023-09-04 00:00:00+00:00,SW,1,1693774800,8.9408
2023-09-04 03:00:00+00:00,SW,1,1693785600,11.176
2023-09-04 06:00:00+00:00,SW,1,1693796400,11.176
2023-09-04 09:00:00+00:00,SW,1,1693807200,12.96416
2023-09-04 12:00:00+00:00,WSW,1,1693818000,12.070079999999999
2023-09-04 15:00:00+00:00,SW,1,1693828800,9.83488
2023-09-04 18:00:00+00:00,WSW,1,1693839600,9.83488
2023-09-04 21:00:00+00:00,WSW,1,1693850400,11.176
2023-09-05 00:00:00+00:00,WSW,1,1693861200,8.9408
2023-09-05 03:00:00+00:00,W,1,1693872000,9.83488
2023-09-05 06:00:00+00:00,N,1,1693882800,4.02336
2023-09-05 09:00:00+00:00,N,1,1693893600,4.02336
2023-09-05 12:00:00+00:00,NNE,1,1693904400,3.12928
2023-09-05 15:00:00+00:00,NE,1,1693915200,4.02336
2023-09-05 18:00:00+00:00,E,1,1693926000,4.91744
2023-09-05 21:00:00+00:00,ESE,1,1693936800,5.81152
2023-09-06 00:00:00+00:00,ESE,1,1693947600,7.15264
2023-09-06 03:00:00+00:00,SE,1,1693958400,7.15264
2023-09-06 06:00:00+00:00,SSE,1,1693969200,9.83488
2023-09-06 09:00:00+00:00,SSE,1,1693980000,8.9408
2023-09-06 12:00:00+00:00,SSE,1,1693990800,11.176
2023-09-06 15:00:00+00:00,SSE,1,1694001600,11.176
2023-09-06 18:00:00+00:00,SSE,1,1694012400,8.9408
2023-09-06 21:00:00+00:00,SSE,1,1694023200,8.04672
2023-09-07 00:00:00+00:00,SSE,1,1694034000,4.02336
2023-09-07 03:00:00+00:00,SSE,1,1694044800,4.02336
2023-09-07 06:00:00+00:00,SSE,1,1694055600,4.02336
2023-09-07 09:00:00+00:00,S,1,1694066400,4.02336
2023-09-07 12:00:00+00:00,SSE,1,1694077200,5.81152
2023-09-07 15:00:00+00:00,SSE,1,1694088000,7.15264
2023-09-07 18:00:00+00:00,SSE,1,1694098800,8.9408
2023-09-07 21:00:00+00:00,S,1,1694109600,8.04672
2023-09-08 00:00:00+00:00,SSE,1,1694120400,3.12928
2023-09-08 03:00:00+00:00,SW,1,1694131200,4.91744
2023-09-08 06:00:00+00:00,SW,1,1694142000,4.02336
2023-09-08 09:00:00+00:00,WSW,1,1694152800,3.12928
2023-09-08 12:00:00+00:00,SW,1,1694163600,3.12928
2023-09-08 18:00:00+00:00,SSE,1,1694185200,4.02336
2023-09-08 21:00:00+00:00,SSE,1,1694196000,5.81152
2023-09-09 03:00:00+00:00,SW,1,1694217600,4.02336
2023-09-09 06:00:00+00:00,WSW,1,1694228400,8.04672
2023-09-09 09:00:00+00:00,SSW,1,1694239200,7.15264
2023-09-09 12:00:00+00:00,SW,1,1694250000,8.04672
2023-09-09 15:00:00+00:00,WSW,1,1694260800,9.83488
2023-09-09 18:00:00+00:00,W,1,1694271600,8.04672
2023-09-09 21:00:00+00:00,W,1,1694282400,4.91744
2023-09-10 00:00:00+00:00,SW,1,1694293200,4.02336
2023-09-10 03:00:00+00:00,WNW,1,1694304000,4.91744
2023-09-10 06:00:00+00:00,WSW,1,1694314800,3.12928
2023-09-10 09:00:00+00:00,SW,1,1694325600,3.12928
2023-09-10 12:00:00+00:00,S,1,1694336400,4.91744
2023-09-10 15:00:00+00:00,SSE,1,1694347200,4.91744
2023-09-10 18:00:00+00:00,ESE,1,1694358000,4.02336
2023-09-10 21:00:00+00:00,E,1,1694368800,5.81152
2023-09-11 03:00:00+00:00,NNE,1,1694390400,4.91744
2023-09-11 06:00:00+00:00,NNW,1,1694401200,4.91744
2023-09-11 09:00:00+00:00,WNW,1,1694412000,4.02336
2023-09-11 12:00:00+00:00,WNW,1,1694422800,8.9408
